epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,train_auroc,train_auprc,train_image_best_f1,train_image_best_threshold,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou,val_auroc,val_auprc,val_image_best_f1,val_image_best_threshold
1,0.8415104189765787,0.8472221109354607,0.14147333982705235,0.9558654032020926,0.20085431964389075,0.1359283346682787,0.7215178130958325,0.7521357905890675,0.8138703218748854,0.9947226972223442,0.7944732209046682,0.9351089497407278,0.2109837420284748,0.9317331810792288,0.27368970463673276,0.1967091125746568,0.8120698297099999,0.8393743563629257,0.8402933793110222,0.9995356798171997
2,0.7966797168009749,0.9062378412095186,0.17119470663438333,0.9412830249171391,0.2314907355564777,0.16146051180418405,0.7721004905736407,0.8006062974606019,0.8266555834708376,0.9992247318553034,0.7670661856730779,0.9353963683048884,0.21619045982758203,0.9388055751721064,0.28017383938034374,0.20459177096684775,0.8256404331032683,0.8453763795522842,0.8493258185143144,0.9996281464894613
3,0.7476831485177869,0.9217867205076129,0.20453695716144882,0.9208390757302257,0.2610468755815631,0.18903530584038974,0.7734065191629442,0.7863086397765717,0.8308455134056706,0.9901104719839363,0.7723498543103536,0.9621817916631699,0.40300103773673374,0.6867649753888448,0.32493235915899277,0.2590590827167034,0.686698449627935,0.6956333531566953,0.8025435572637011,0.8473454465468725
4,0.6916968103881195,0.9340664471421286,0.22310903550029915,0.8985351758582569,0.2741589101954041,0.20098710575393428,0.773890033465566,0.7806974341963695,0.83697531097225,0.9995913633676333,0.6628559132417043,0.9197837362686793,0.22446398561199507,0.9412739227215449,0.2901639863848686,0.21451751391092935,0.7516573558718957,0.7444502389409817,0.8252225804334307,0.9999993741512299
5,0.6258935867068923,0.9477990230667257,0.2602676481844109,0.8699165365406286,0.3007358813954291,0.22601071793899358,0.7705482119363531,0.8052826998337913,0.8328248281988452,0.9596176721225275,0.5789811511834463,0.9593514104684194,0.3389867730438709,0.848718265692393,0.3512235606710116,0.2759381632010142,0.8015132583395826,0.7723142739204717,0.8460341706545073,0.916664739449819
6,0.5747827068667546,0.9541569346579436,0.3032283326872041,0.8453300712264586,0.3249247549014671,0.25145749336926737,0.7314609337682672,0.7216499300139653,0.8235781750996941,0.9403929476426026,0.5736739983161291,0.9239778220653534,0.2283546899755796,0.9387478232383728,0.2942151613533497,0.21794427931308746,0.6290028216960751,0.7056996765866735,0.7786922883877755,0.9160232345263163
7,0.5561493568331282,0.955538657224067,0.3108539965665229,0.8323217051051487,0.32571948507678844,0.25264111439758374,0.7280587537187058,0.7433999330962904,0.8214410358765638,0.9143915259949514,0.5468360781669617,0.965032547712326,0.3971552476286888,0.822218989332517,0.3938708653052648,0.3200426350037257,0.780655702168915,0.7600083181100948,0.8335602716516758,0.831106647849083
8,0.5091173860514275,0.9614203137772106,0.34766358910041434,0.822905585030529,0.3595374975806085,0.2857901169178642,0.7522370523340529,0.793262912469028,0.8274256725986233,0.9238193441774244,0.4920961608489354,0.9692367861668268,0.4372537011901538,0.8063759009043375,0.42810914665460587,0.355005385975043,0.753658308900733,0.7473793271714685,0.8310271002960171,0.83332359790802
9,0.49216590306469216,0.9630869682704177,0.34978816818411107,0.8175653447614653,0.3564322377755263,0.28274459593763973,0.7355532886467898,0.7430171047287429,0.8250771155962923,0.904052650260034,0.4828060219685237,0.9620029181241989,0.41089674333731335,0.8267096728086472,0.41361845284700394,0.3387814785043399,0.7428712602455426,0.7462459391752141,0.8278018132838101,0.9991087218125662
10,0.4726565608354372,0.9638061467732224,0.36113075222645963,0.8205699993071155,0.3722594364363456,0.2987311669738493,0.7308343003891062,0.7631525618535651,0.8212230353877131,0.9242323252642266,0.48781272272268933,0.9718102663755417,0.5530586242675781,0.7664265880982081,0.49760246525208157,0.42971429973840714,0.8253800006270872,0.8495619562889113,0.8586744084295952,0.7451654920975367
11,0.4700510401592076,0.963214851985468,0.3757169417967306,0.8140495525342282,0.3793465788954886,0.3058839787111104,0.7536925067469212,0.7830314896957853,0.832627871456767,0.9340746235624652,0.5017182976007462,0.965220515926679,0.5152257631222407,0.7738088468710581,0.4644386370976766,0.39365024616320926,0.800164959451334,0.8075570796149862,0.849915255026153,0.8328818480173746
